Rank,Team,"2024 Valuation [Millions, Dollars]","2022-23 Revenue [Millions, Dollars]",League
1,Manchester United,6200,778,EPL
2,Read Madrid,6060,844,LaLiga
3,FC Barcelona,5280,836,LaLiga
4,Liverpool,5110,713,EPL
5,Bayern Munich,4800,781,Bundesliga
6,Manchester City,4750,855,EPL
7,Paris Saint-Germain,4050,842,Ligue 1
8,Arsenal,3910,558,EPL
9,Totenham Hotspur,3490,660,EPL
10,Chelsea,3470,615,EPL
11,Juventus,1770,459,Serie A
12,Borussia Dortmund,1640,439,Bundesliga
13,Atletico de Madrid,1620,382,LaLiga
14,AC Milan,1200,414,Serie A
15,Los Angeles FC,1150,128,MLS
16,Inter Milan,1060,405,Serie A
17,Atlanta United,1050,123,MLS
18,Inter Miami,1020,127,MLS
19,LA Galaxy,1000,94,MLS
20,New York City FC,840,68,MLS
21,Austin FC,800,90,MLS
22,Seatle Sounders,795,77,MLS
23,Olympique Lyonnais,780,209,Ligue 1
24,AS Roma,770,232,Serie A
25,America,750,165,Liga MX
26,AFC Ajax,740,206,Eredivisie
27,West Ham United,725,284,EPL
28,Toronto FC,725,70,MLS
29,D.C. United,720,69,MLS
30,Portland Timbers,715,69,MLS
31,Guadalajara,710,160,Liga MX
32,Newcastle United,700,300,EPL
33,Napoli,690,289,Serie A
34,Philadelphia Union,685,72,MLS
35,SL Benfica,675,245,Primeira Liga
36,Charlotte FC,655,82,MLS
37,Columbus Crew,650,73,MLS
38,FC Cincinnati,645,79,MLS
39,Minnesota United,640,65,MLS
40,Nashvile SC,638,62,MLS
41,Sporting Kansas City,630,67,MLS
42,New Yoro Red Bulls,615,54,MLS
43,RB Leipzig,610,252,Bundesliga
44,Aston Villa,600,261,EPL
45,Atalanta,595,139,Serie A
46,Eintracht Frankfurt,580,309,Bundesliga
47,Flamengo,570,205,Brazilian Serie A
48,Monterrey,565,150,Liga MX
49,San Jose Earthquake,560,51,MLS
50,Houston Dynamo FC,550,54,MLS
